rank,universe_id,root_place_id,name,playing,visits,favorited_count,created,updated,url
1,9584852943,95082159892680,+1 Speed Keyboard Escape | Candy & Chocolate,303100,2549737841,3719243,2026-01-18T17:49:45.993Z,2026-07-09T03:00:19.6650151Z,https://www.roblox.com/games/95082159892680
2,10148749921,78515283254292,Animal Hospital (Anomaly) 🧪,437200,598104995,1074601,2026-05-10T15:38:25.274Z,2026-07-07T18:46:00.3891091Z,https://www.roblox.com/games/78515283254292
3,66654135,142823291,Murder Mystery 2,228700,27043851044,22737103,2014-01-18T10:07:51.557Z,2026-07-03T17:11:54.934Z,https://www.roblox.com/games/142823291
4,2711375305,7041939546,Catalog Avatar Creator,85600,7275245992,5459243,2021-07-03T18:17:43.59Z,2026-07-08T06:41:59.0548577Z,https://www.roblox.com/games/7041939546
5,3808081382,10449761463,The Strongest Battlegrounds,61300,18612288351,7369771,2022-08-02T09:26:24.09Z,2026-07-01T17:10:40.325Z,https://www.roblox.com/games/10449761463
6,5203828273,15101393044,[🌴] Dress To Impress,85500,10463550138,6890306,2023-10-18T09:11:36.563Z,2026-07-09T04:20:56.9289019Z,https://www.roblox.com/games/15101393044
7,10267363348,138381251771774,🪣 Drain the Lake,65900,20429684,104805,2026-06-03T21:01:44.521Z,2026-07-08T03:15:25.8882237Z,https://www.roblox.com/games/138381251771774
8,10397566868,74511210941284,🦎 Chameleon!,26400,8582798,59975,2026-06-26T11:57:30.71Z,2026-07-09T04:19:04.0798322Z,https://www.roblox.com/games/74511210941284
9,10247797619,138432670504218,Survive 7 Days In Arctic [Alpha],14400,9999170,35626,2026-05-30T21:19:49.604Z,2026-07-09T03:02:39.4788935Z,https://www.roblox.com/games/138432670504218
10,10200395747,97598239454123,Grow a Garden 2,383600,1108667547,600014,2026-05-21T19:45:07.879Z,2026-07-06T05:42:22.839Z,https://www.roblox.com/games/97598239454123
11,10337069275,124757309017950,Ice Tycoon 2,5800,1216604,16889,2026-06-16T07:30:38.862Z,2026-07-08T20:47:19.3399497Z,https://www.roblox.com/games/124757309017950
12,10278774552,85245205758607,[NEW!🔥] Paint Or Seek,40700,72557671,201770,2026-06-06T05:10:33.074Z,2026-07-09T04:03:13.4547918Z,https://www.roblox.com/games/85245205758607
13,10249209189,112641748896693,Missiles vs Cities,4400,1213985,11129,2026-05-31T03:48:44.09Z,2026-07-09T04:22:38.3578079Z,https://www.roblox.com/games/112641748896693
14,1686885941,4924922222,Brookhaven 🏡RP,416200,84707386119,28635351,2020-04-21T02:15:38.373Z,2026-07-07T18:02:38.2270806Z,https://www.roblox.com/games/4924922222
15,383310974,920587237,[🍔] Adopt Me!,306700,44073417592,29319330,2017-07-14T19:26:21.347Z,2026-07-08T00:00:03.4502109Z,https://www.roblox.com/games/920587237
16,7326934954,79546208627805,99 Nights in the Forest 🔦,233300,28030406852,8553938,2025-03-04T04:46:49.73Z,2026-07-04T18:21:58.11Z,https://www.roblox.com/games/79546208627805
17,3359505957,8884433153,Collect All Pets!,2900,206218468,321131,2022-02-20T17:07:04.26Z,2026-07-07T19:54:46.6836488Z,https://www.roblox.com/games/8884433153
18,1000233041,2768379856,3008 [2.74],15200,3232474395,5675813,2019-01-20T15:38:59.747Z,2026-05-16T23:17:21.923Z,https://www.roblox.com/games/2768379856
19,5674379281,16472538603,THA BRONX 3🐍,6600,215098666,198758,2024-02-22T10:11:16.817Z,2026-07-07T19:04:01.549861Z,https://www.roblox.com/games/16472538603
20,5580972377,16154918775,💥 BUCKSHOT,4300,116176793,495220,2024-01-28T18:36:04.97Z,2026-06-25T13:02:45.123Z,https://www.roblox.com/games/16154918775
21,4019583467,11276071411,NPC or DIE! 💢,3800,359381591,722874,2022-10-15T03:25:46.403Z,2026-07-03T18:20:12.781Z,https://www.roblox.com/games/11276071411
22,9885372266,82797688803922,Unseen Liminality [BETA],5700,50738717,2093920,2026-03-15T03:45:50.283Z,2026-07-07T16:01:00.209Z,https://www.roblox.com/games/82797688803922
23,10061511956,126631821717419,Seishun: School Life Roleplay,2200,7269965,38688,2026-04-20T14:44:51.248Z,2026-07-06T20:22:35.014Z,https://www.roblox.com/games/126631821717419
